ID	Gene Name	Species	REACTOME_PATHWAY
PDPK1	3-phosphoinositide dependent protein kinase 1(PDPK1)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-109704~PI3K Cascade,R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-112399~IRS-mediated signalling,R-HSA-114604~GPVI-mediated activation cascade,R-HSA-1257604~PIP3 activates AKT signaling,R-HSA-1280218~Adaptive Immune System,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-165158~Activation of AKT2,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194138~Signaling by VEGF,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-212436~Generic Transcription Pathway,R-HSA-2219528~PI3K/AKT Signaling in Cancer,R-HSA-2404192~Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),R-HSA-2428924~IGF1R signaling cascade,R-HSA-2428928~IRS-related events triggered by IGF1R,R-HSA-2454202~Fc epsilon receptor (FCERI) signaling,R-HSA-2730905~Role of LAT2/NTAL/LAB on calcium mobilization,R-HSA-2871837~FCERI mediated NF-kB activation,R-HSA-354192~Integrin signaling,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-372790~Signaling by GPCR,R-HSA-388396~GPCR downstream signalling,R-HSA-388841~Costimulation by the CD28 family,R-HSA-389356~CD28 co-stimulation,R-HSA-389357~CD28 dependent PI3K/Akt signaling,R-HSA-392451~G beta:gamma signalling through PI3Kgamma,R-HSA-397795~G-protein beta:gamma signalling,R-HSA-438064~Post NMDA receptor activation events,R-HSA-4420097~VEGFA-VEGFR2 Pathway,R-HSA-442742~CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,R-HSA-442755~Activation of NMDA receptors and postsynaptic events,R-HSA-444257~RSK activation,R-HSA-5218920~VEGFR2 mediated vascular permeability,R-HSA-5218921~VEGFR2 mediated cell proliferation,R-HSA-5607764~CLEC7A (Dectin-1) signaling,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5625740~RHO GTPases activate PKNs,R-HSA-5633007~Regulation of TP53 Activity,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5663205~Infectious disease,R-HSA-5674400~Constitutive Signaling by AKT1 E17K in Cancer,R-HSA-6804757~Regulation of TP53 Degradation,R-HSA-6806003~Regulation of TP53 Expression and Degradation,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-74751~Insulin receptor signalling cascade,R-HSA-74752~Signaling by Insulin receptor,R-HSA-76002~Platelet activation, signaling and aggregation,R-HSA-76009~Platelet Aggregation (Plug Formation),R-HSA-8939211~ESR-mediated signaling,R-HSA-9006925~Intracellular signaling by second messengers,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9009391~Extra-nuclear estrogen signaling,R-HSA-9634635~Estrogen-stimulated signaling through PRKCZ,R-HSA-9678108~SARS-CoV-1 Infection,R-HSA-9679506~SARS-CoV Infections,R-HSA-9692914~SARS-CoV-1-host interactions,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9705683~SARS-CoV-2-host interactions,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9735871~SARS-CoV-1 targets host intracellular signalling and regulatory pathways,R-HSA-9755779~SARS-CoV-2 targets host intracellular signalling and regulatory pathways,R-HSA-9824446~Viral Infection Pathways,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-73621~Pyrimidine catabolism,R-HSA-74259~Purine catabolism,R-HSA-8956319~Nucleotide catabolism,
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1442490~Collagen degradation,R-HSA-1474228~Degradation of the extracellular matrix,R-HSA-1474244~Extracellular matrix organization,R-HSA-71064~Lysine catabolism,R-HSA-71291~Metabolism of amino acids and derivatives,
AKAP13	A-kinase anchoring protein 13(AKAP13)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-193648~NRAGE signals death through JNK,R-HSA-193704~p75 NTR receptor-mediated signalling,R-HSA-194315~Signaling by Rho GTPases,R-HSA-204998~Cell death signalling via NRAGE, NRIF and NADE,R-HSA-372790~Signaling by GPCR,R-HSA-388396~GPCR downstream signalling,R-HSA-416482~G alpha (12/13) signalling events,R-HSA-73887~Death Receptor Signaling,R-HSA-8980692~RHOA GTPase cycle,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013026~RHOB GTPase cycle,R-HSA-9013106~RHOC GTPase cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
ACD	ACD shelterin complex subunit and telomerase recruitment factor(ACD)	Homo sapiens	R-HSA-110328~Recognition and association of DNA glycosylase with site containing an affected pyrimidine,R-HSA-110329~Cleavage of the damaged pyrimidine ,R-HSA-110330~Recognition and association of DNA glycosylase with site containing an affected purine,R-HSA-110331~Cleavage of the damaged purine,R-HSA-1221632~Meiotic synapsis,R-HSA-1474165~Reproduction,R-HSA-1500620~Meiosis,R-HSA-157579~Telomere Maintenance,R-HSA-1640170~Cell Cycle,R-HSA-171306~Packaging Of Telomere Ends,R-HSA-171319~Telomere Extension By Telomerase,R-HSA-174411~Polymerase switching on the C-strand of the telomere,R-HSA-174414~Processive synthesis on the C-strand of the telomere,R-HSA-174417~Telomere C-strand (Lagging Strand) Synthesis,R-HSA-174430~Telomere C-strand synthesis initiation,R-HSA-174437~Removal of the Flap Intermediate from the C-strand,R-HSA-180786~Extension of Telomeres,R-HSA-2262752~Cellular responses to stress,R-HSA-2559583~Cellular Senescence,R-HSA-2559586~DNA Damage/Telomere Stress Induced Senescence,R-HSA-73884~Base Excision Repair,R-HSA-73886~Chromosome Maintenance,R-HSA-73894~DNA Repair,R-HSA-73927~Depurination,R-HSA-73928~Depyrimidination,R-HSA-73929~Base-Excision Repair, AP Site Formation,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9670095~Inhibition of DNA recombination at telomere,
ADAM8	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	R-HSA-1474228~Degradation of the extracellular matrix,R-HSA-1474244~Extracellular matrix organization,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-6798695~Neutrophil degranulation,
ARF1	ADP ribosylation factor 1(ARF1)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1430728~Metabolism,R-HSA-1483255~PI Metabolism,R-HSA-1483257~Phospholipid metabolism,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-164938~Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,R-HSA-164952~The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-1660499~Synthesis of PIPs at the plasma membrane,R-HSA-1660514~Synthesis of PIPs at the Golgi membrane,R-HSA-167590~Nef Mediated CD4 Down-regulation,R-HSA-168256~Immune System,R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-2132295~MHC class II antigen presentation,R-HSA-382551~Transport of small molecules,R-HSA-392499~Metabolism of proteins,R-HSA-432720~Lysosome Vesicle Biogenesis,R-HSA-432722~Golgi Associated Vesicle Biogenesis,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-447115~Interleukin-12 family signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-556833~Metabolism of lipids,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-6807878~COPI-mediated anterograde transport,R-HSA-6811434~COPI-dependent Golgi-to-ER retrograde traffic,R-HSA-6811438~Intra-Golgi traffic,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-8856688~Golgi-to-ER retrograde transport,R-HSA-8950505~Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,R-HSA-9020591~Interleukin-12 signaling,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-9824446~Viral Infection Pathways,R-HSA-9845576~Glycosphingolipid transport,
ARL2BP	ADP ribosylation factor like GTPase 2 binding protein(ARL2BP)	Homo sapiens	R-HSA-382551~Transport of small molecules,R-HSA-425397~Transport of vitamins, nucleosides, and related molecules,R-HSA-425407~SLC-mediated transmembrane transport,R-HSA-83936~Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,
AAK1	AP2 associated kinase 1(AAK1)	Homo sapiens	R-HSA-199991~Membrane Trafficking,R-HSA-5653656~Vesicle-mediated transport,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,
ASH1L	ASH1 like histone lysine methyltransferase(ASH1L)	Homo sapiens	R-HSA-3214841~PKMTs methylate histone lysines,R-HSA-3247509~Chromatin modifying enzymes,R-HSA-4839726~Chromatin organization,
